petrel_path,crawl_timestamp
/cdiac/cdiac.ornl.gov/pub8old/pub8/meanprofile.m,1626898697.0808694
/cdiac/cdiac.ornl.gov/pub8old/pub8/PX102E.csv,1626898697.0620847
/cdiac/cdiac.ornl.gov/pub8old/pub8/2QC_matlab_toolbox_150729/define_domain.m,1626898697.4174435
/cdiac/cdiac.ornl.gov/pub8old/pub8/2QC_matlab_toolbox_150729/meanprofile.m,1626898697.4187336
/cdiac/cdiac.ornl.gov/pub8old/pub8/2QC_matlab_toolbox_150729/xover_2ndQC.m,1626898697.4200072
/cdiac/cdiac.ornl.gov/pub8old/pub8/2QC_matlab_toolbox_160725/load_global_refdata.m,1626898697.7320387
/cdiac/cdiac.ornl.gov/pub8old/pub8/2QC_matlab_toolbox_160725/meanprofile.m,1626898697.73305
/cdiac/cdiac.ornl.gov/pub8old/pub8/2QC_matlab_toolbox_160725/run_2QC_toolbox_without_GUI.m,1626898697.7344382
/cdiac/cdiac.ornl.gov/pub8old/pub8/2QC_matlab_toolbox_160725/toolbox_2QC.m,1626898697.7354393
/cdiac/cdiac.ornl.gov/pub8old/pub8/LDEO_Database_V2012.csv,1626898697.0604832
/cdiac/cdiac.ornl.gov/pub8old/pub8/PX103E.csv,1626898697.062338
/cdiac/cdiac.ornl.gov/pub8old/pub8/PX106W.csv,1626898697.0634582
/cdiac/cdiac.ornl.gov/pub8old/pub8/LDEO_Database_V2013.csv,1626898697.0606751
/cdiac/cdiac.ornl.gov/pub8old/pub8/SOCAT_tracks_gridded_monthly_v4.nc,1626898697.066985
/cdiac/cdiac.ornl.gov/pub8old/pub8/SOCATv1.5_TropicalAtlantic_2011_09_22.txt,1626898697.0695004
/cdiac/cdiac.ornl.gov/pub8old/pub8/SOCATv4_TropicalAtlantic.tsv,1626898697.0747695
/cdiac/cdiac.ornl.gov/pub8old/pub8/batchout.dbf,1626898697.0765264
/cdiac/cdiac.ornl.gov/pub8old/pub8/kiw8sfc.txt,1626898697.0792198
/cdiac/cdiac.ornl.gov/pub8old/pub8/may_2002_f.xls,1626898697.0806093
/cdiac/cdiac.ornl.gov/pub8old/pub8/batchout.txt,1626898697.0780118
/cdiac/cdiac.ornl.gov/pub8old/pub8/kiw9sfc.txt,1626898697.0793865
/cdiac/cdiac.ornl.gov/pub8old/pub8/sec_QC.m,1626898697.0823755
/cdiac/cdiac.ornl.gov/pub8old/pub8/spco2_clim_ETH_SOM-FFN_CDIAC_G05.nc,1626898697.083024
/cdiac/cdiac.ornl.gov/pub8old/pub8/2QC_matlab_toolbox_150729/README_2QC_TOOLBOX.txt,1626898697.41686
/cdiac/cdiac.ornl.gov/pub8old/pub8/2QC_matlab_toolbox_150729/excread.m,1626898697.417646
/cdiac/cdiac.ornl.gov/pub8old/pub8/2QC_matlab_toolbox_160725/intprofile.m,1626898697.7315857
/cdiac/cdiac.ornl.gov/pub8old/pub8/2QC_matlab_toolbox_160725/readme_160725.txt,1626898697.7337363
/cdiac/cdiac.ornl.gov/pub8old/pub8/ALL_CTDS/in2016_v02008Avg.nc,1626898698.1872952
/cdiac/cdiac.ornl.gov/pub8old/pub8/ALL_CTDS/in2016_v02011Avg.nc,1626898698.1878107
/cdiac/cdiac.ornl.gov/pub8old/pub8/ALL_CTDS/in2016_v02022Avg.nc,1626898698.1917846
/cdiac/cdiac.ornl.gov/pub8old/pub8/Hydrochem_data/in2016_v02Hydro006.nc,1626898698.4956527
/cdiac/cdiac.ornl.gov/pub8old/pub8/Hydrochem_data/in2016_v02Hydro015.nc,1626898698.4971187
/cdiac/cdiac.ornl.gov/pub8old/pub8/Hydrochem_data/in2016_v02Hydro018.nc,1626898698.497486
/cdiac/cdiac.ornl.gov/pub8old/pub8/Hydrochem_data/in2016_v02Hydro020.nc,1626898698.49784
/cdiac/cdiac.ornl.gov/pub8old/pub8/Hydrochem_data/in2016_v02Hydro022.nc,1626898698.4982774
/cdiac/cdiac.ornl.gov/pub8old/pub8/Hydrochem_data/in2016_v02Hydro026.nc,1626898698.4990544
/cdiac/cdiac.ornl.gov/pub8old/pub8/Hydrochem_data/in2016_v02Hydro027.nc,1626898698.4991903
/cdiac/cdiac.ornl.gov/pub8old/pub8/Hydrochem_data/in2016_v02Hydro029.nc,1626898698.4995358
/cdiac/cdiac.ornl.gov/pub8old/pub8/Hydrochem_data/in2016_v02Hydro033.nc,1626898698.5003786
/cdiac/cdiac.ornl.gov/pub8old/pub8/nov_2001_f.xls,1626898697.0813663
/cdiac/cdiac.ornl.gov/pub8old/pub8/readmefirst.txt,1626898697.0821471
/cdiac/cdiac.ornl.gov/pub8old/pub8/2QC_matlab_toolbox_150729/Xover_subplot.m,1626898697.4172218
/cdiac/cdiac.ornl.gov/pub8old/pub8/2QC_matlab_toolbox_150729/load_global_refdata.m,1626898697.4181511
/cdiac/cdiac.ornl.gov/pub8old/pub8/2QC_matlab_toolbox_150729/matching.m,1626898697.418455
/cdiac/cdiac.ornl.gov/pub8old/pub8/2QC_matlab_toolbox_160725/excread.m,1626898697.7311962
/cdiac/cdiac.ornl.gov/pub8old/pub8/2QC_matlab_toolbox_160725/posfig.m,1626898697.733485
/cdiac/cdiac.ornl.gov/pub8old/pub8/ALL_CTDS/in2016_v02010Avg.nc,1626898698.1875546
/cdiac/cdiac.ornl.gov/pub8old/pub8/ALL_CTDS/in2016_v02012Avg.nc,1626898698.1885817
/cdiac/cdiac.ornl.gov/pub8old/pub8/ALL_CTDS/in2016_v02025Avg.nc,1626898698.192566
/cdiac/cdiac.ornl.gov/pub8old/pub8/SOCATv3_SouthernOceans.tsv,1626898697.072772
/cdiac/cdiac.ornl.gov/pub8old/pub8/SOCATv3_TropicalPacific.tsv,1626898697.0731733
/cdiac/cdiac.ornl.gov/pub8old/pub8/SOCATv4.tsv,1626898697.0733461
/cdiac/cdiac.ornl.gov/pub8old/pub8/SOCATv4_Coastal.tsv,1626898697.0736883
/cdiac/cdiac.ornl.gov/pub8old/pub8/SOCATv4_SouthernOceans.tsv,1626898697.0745525
/cdiac/cdiac.ornl.gov/pub8old/pub8/batchout.prj,1626898697.0771322
/cdiac/cdiac.ornl.gov/pub8old/pub8/docm362.rtf,1626898697.0783868
/cdiac/cdiac.ornl.gov/pub8old/pub8/feb_2002_f.xls,1626898697.0785687
/cdiac/cdiac.ornl.gov/pub8old/pub8/intprofile.m,1626898697.0787518
/cdiac/cdiac.ornl.gov/pub8old/pub8/kaxis_underway_v3_201516030_60sec.csv,1626898697.0790305
/cdiac/cdiac.ornl.gov/pub8old/pub8/Hydrochem_data/in2016_v02Hydro036.nc,1626898698.5017216
/cdiac/cdiac.ornl.gov/pub8old/pub8/SurfaceAlkalinityClimatology/SurfaceAlkalinityClimatology_7.cfg,1626898698.992143
/cdiac/cdiac.ornl.gov/pub8old/pub8/PACIFICAsource/18DD19930514_hy1.csv,1626898699.0490177
/cdiac/cdiac.ornl.gov/pub8old/pub8/PACIFICAsource/18DD19990602_hy1.csv,1626898699.053558
/cdiac/cdiac.ornl.gov/pub8old/pub8/PACIFICAsource/18DD20040602_hy1.csv,1626898699.0562782
/cdiac/cdiac.ornl.gov/pub8old/pub8/PACIFICAsource/18DD20040821_hy1.csv,1626898699.0566006
/cdiac/cdiac.ornl.gov/pub8old/pub8/PACIFICAsource/18DD20070208_hy1.csv,1626898699.0579405
/cdiac/cdiac.ornl.gov/pub8old/pub8/PACIFICAsource/18PZ19861014_hy1.csv,1626898699.0645008
/cdiac/cdiac.ornl.gov/pub8old/pub8/PACIFICAsource/33KK20020701_hy1.csv,1626898699.0767732
/cdiac/cdiac.ornl.gov/pub8old/pub8/PACIFICAsource/49EW19991007_hy1.csv,1626898699.077747
/cdiac/cdiac.ornl.gov/pub8old/pub8/load_refdata.m,1626898697.0801404
/cdiac/cdiac.ornl.gov/pub8old/pub8/matching.m,1626898697.0803525
/cdiac/cdiac.ornl.gov/pub8old/pub8/mt0362_all.txt,1626898697.0811765
/cdiac/cdiac.ornl.gov/pub8old/pub8/LDEO_Database_V2015.csv,1626898697.0610228
